""
Section,Sources,geography,state
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Montana_Tracts_Block_Groups_Only.zip,s,MT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Montana_All_Geographies_Not_Tracts_Block_Groups.zip,l,MT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewHampshire_Tracts_Block_Groups_Only.zip,s,NH
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewHampshire_All_Geographies_Not_Tracts_Block_Groups.zip,l,NH
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Michigan_Tracts_Block_Groups_Only.zip,s,MI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Michigan_All_Geographies_Not_Tracts_Block_Groups.zip,l,MI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//DistrictOfColumbia_Tracts_Block_Groups_Only.zip,s,DC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//DistrictOfColumbia_All_Geographies_Not_Tracts_Block_Groups.zip,l,DC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Pennsylvania_Tracts_Block_Groups_Only.zip,s,PA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Pennsylvania_All_Geographies_Not_Tracts_Block_Groups.zip,l,PA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Massachusetts_Tracts_Block_Groups_Only.zip,s,MA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Massachusetts_All_Geographies_Not_Tracts_Block_Groups.zip,l,MA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NorthCarolina_Tracts_Block_Groups_Only.zip,s,NC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NorthCarolina_All_Geographies_Not_Tracts_Block_Groups.zip,l,NC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Minnesota_Tracts_Block_Groups_Only.zip,s,MN
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Minnesota_All_Geographies_Not_Tracts_Block_Groups.zip,l,MN
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Illinois_Tracts_Block_Groups_Only.zip,s,IL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Illinois_All_Geographies_Not_Tracts_Block_Groups.zip,l,IL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//PuertoRico_Tracts_Block_Groups_Only.zip,s,PR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//PuertoRico_All_Geographies_Not_Tracts_Block_Groups.zip,l,PR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Louisiana_Tracts_Block_Groups_Only.zip,s,LA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Louisiana_All_Geographies_Not_Tracts_Block_Groups.zip,l,LA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Utah_Tracts_Block_Groups_Only.zip,s,UT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Utah_All_Geographies_Not_Tracts_Block_Groups.zip,l,UT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//WestVirginia_Tracts_Block_Groups_Only.zip,s,WV
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//WestVirginia_All_Geographies_Not_Tracts_Block_Groups.zip,l,WV
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Connecticut_Tracts_Block_Groups_Only.zip,s,CT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Connecticut_All_Geographies_Not_Tracts_Block_Groups.zip,l,CT
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Idaho_Tracts_Block_Groups_Only.zip,s,ID
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Idaho_All_Geographies_Not_Tracts_Block_Groups.zip,l,ID
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Mississippi_Tracts_Block_Groups_Only.zip,s,MS
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Mississippi_All_Geographies_Not_Tracts_Block_Groups.zip,l,MS
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Georgia_Tracts_Block_Groups_Only.zip,s,GA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Georgia_All_Geographies_Not_Tracts_Block_Groups.zip,l,GA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Florida_Tracts_Block_Groups_Only.zip,s,FL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Florida_All_Geographies_Not_Tracts_Block_Groups.zip,l,FL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Arizona_Tracts_Block_Groups_Only.zip,s,AZ
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Arizona_All_Geographies_Not_Tracts_Block_Groups.zip,l,AZ
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewMexico_Tracts_Block_Groups_Only.zip,s,NM
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewMexico_All_Geographies_Not_Tracts_Block_Groups.zip,l,NM
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Missouri_Tracts_Block_Groups_Only.zip,s,MO
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Missouri_All_Geographies_Not_Tracts_Block_Groups.zip,l,MO
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Ohio_Tracts_Block_Groups_Only.zip,s,OH
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Ohio_All_Geographies_Not_Tracts_Block_Groups.zip,l,OH
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Wyoming_Tracts_Block_Groups_Only.zip,s,WY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Wyoming_All_Geographies_Not_Tracts_Block_Groups.zip,l,WY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//SouthDakota_Tracts_Block_Groups_Only.zip,s,SD
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//SouthDakota_All_Geographies_Not_Tracts_Block_Groups.zip,l,SD
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Indiana_Tracts_Block_Groups_Only.zip,s,IN
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Indiana_All_Geographies_Not_Tracts_Block_Groups.zip,l,IN
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewJersey_Tracts_Block_Groups_Only.zip,s,NJ
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewJersey_All_Geographies_Not_Tracts_Block_Groups.zip,l,NJ
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Virginia_Tracts_Block_Groups_Only.zip,s,VA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Virginia_All_Geographies_Not_Tracts_Block_Groups.zip,l,VA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Oregon_Tracts_Block_Groups_Only.zip,s,OR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Oregon_All_Geographies_Not_Tracts_Block_Groups.zip,l,OR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//RhodeIsland_Tracts_Block_Groups_Only.zip,s,RI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//RhodeIsland_All_Geographies_Not_Tracts_Block_Groups.zip,l,RI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Kansas_Tracts_Block_Groups_Only.zip,s,KS
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Kansas_All_Geographies_Not_Tracts_Block_Groups.zip,l,KS
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Arkansas_Tracts_Block_Groups_Only.zip,s,AR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Arkansas_All_Geographies_Not_Tracts_Block_Groups.zip,l,AR
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Kentucky_Tracts_Block_Groups_Only.zip,s,KY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Kentucky_All_Geographies_Not_Tracts_Block_Groups.zip,l,KY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//SouthCarolina_Tracts_Block_Groups_Only.zip,s,SC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//SouthCarolina_All_Geographies_Not_Tracts_Block_Groups.zip,l,SC
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewYork_Tracts_Block_Groups_Only.zip,s,NY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//NewYork_All_Geographies_Not_Tracts_Block_Groups.zip,l,NY
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Wisconsin_Tracts_Block_Groups_Only.zip,s,WI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Wisconsin_All_Geographies_Not_Tracts_Block_Groups.zip,l,WI
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Alabama_Tracts_Block_Groups_Only.zip,s,AL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Alabama_All_Geographies_Not_Tracts_Block_Groups.zip,l,AL
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Colorado_Tracts_Block_Groups_Only.zip,s,CO
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Colorado_All_Geographies_Not_Tracts_Block_Groups.zip,l,CO
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Iowa_Tracts_Block_Groups_Only.zip,s,IA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Iowa_All_Geographies_Not_Tracts_Block_Groups.zip,l,IA
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Tennessee_Tracts_Block_Groups_Only.zip,s,TN
Datafile,http://www2.census.gov/programs-surveys/acs/summary_file/2014/data/5_year_by_state//Tennessee_All_Geographies_Not_Tracts_Block_Groups.zip,l,TN
