"#","Builtin Term Declarations. Some of these have to be encoded in the parser, ",,,,,,,
"#","So they aren't really necessary, but are included here for documentation",,,,,,,
"Section","DeclaredTerms",,,,,,,
"DeclareTerm","Constraints.Maximum",,,"Schemas",,,"constraints.maximum","Column.Maximum"
"DeclareTerm","Constraints.Enum",,,"Schemas",,,"constraints.enum","Column.Enum"
,,,,,,,,
"# Synonyms so users can write the singular versions of terms that appear as pularal in datapackage.json",,,,,,,,
,,,,,,,,
"DeclareTerm","Root.Source",,,"Root","Root.Sources",,,
"DeclareTerm","Root.Contributor",,,"Root","Root.Contributors",,,
"DeclareTerm","Root.Resource",,,"Resources","Root.Resources",,"resources","Root.Resource"
"DeclareTerm","Resource.Path","Path",,"Resources","Resources.Path",,,
"DeclareTerm","Resource.Name",,,"Resources","Resources.Name",,,
"DeclareTerm","Resource.Title",,,"Resources","Resources.Title",,,
"DeclareTerm","Resource.Description",,,"Resources","Resources.Description",,,
"DeclareTerm","Resource.Encoding",,,"Resources","Resources.Encoding",,,
"DeclareTerm","Resource.Format",,,"Resources","Resources.Format",,,
"DeclareTerm","Resource.MediaType",,,"Resources","Resources.MediaType",,,
"DeclareTerm","Resource.Bytes",,,"Resources","Resources.Bytes",,,
"DeclareTerm","Resource.Hash",,,"Resources","Resources.Hash",,,
"DeclareTerm","Resource.License",,,"Resources","Resources.License",,,
"DeclareTerm","Resource.Schema",,,"Resources","Resources.Schema",,,
"DeclareTerm","Root.Schema",,,"Schemas","Root.Schemas",,,
"DeclareTerm","Schema.PrimaryKey",,,"Schemas","Schemas.PrimaryKey",,,
"DeclareTerm","Schema.ForeignKey",,,"Schemas","Schemas.ForeignKey",,,
"DeclareTerm","Schema.Field","Name",,"Schemas","Schemas.Fields",,,
"DeclareTerm","Field",,,"Schemas","Schemas.Fields",,,
"DeclareTerm","Field.Name",,,"Schemas","Fields.Name",,,
"DeclareTerm","Field.Title",,,"Schemas","Fields.Title",,,
"DeclareTerm","Field.Description",,,"Schemas","Fields.Description",,,
"DeclareTerm","Field.DataType",,,"Schemas","Fields.DataType",,,
"DeclareTerm","Field.Format",,,"Schemas","Fields.Format",,,
"DeclareTerm","Field.MissingValue",,,"Schemas","Fields.MissingValue",,,
"DeclareTerm","Field.Constraint",,,"Schemas","Fields.Constraint",,,
"DeclareTerm","Constraint",,,,"Fields.Constraint",,,
"DeclareTerm","Constraint.Required",,,"Schemas","Constraints.Required",,,
"DeclareTerm","Constraint.MinLength",,,"Schemas","Constraints.MinLength",,,
"DeclareTerm","Constraint.MaxLength",,,"Schemas","Constraints.MaxLength",,,
"DeclareTerm","Constraint.Unique",,,"Schemas","Constraints.Unique",,,
"DeclareTerm","Constraint.Pattern",,,"Schemas","Constraints.Pattern",,,
"DeclareTerm","Constraint.Minimum",,,"Schemas","Constraints.Minimum",,,
"DeclareTerm","Constraint.Maximum",,,"Schemas","Constraints.Maximum",,,
"DeclareTerm","Constraint.Enum",,,"Schemas","Constraints.Enum",,,
